,Vx_alpha,Vx_beta,Vx_gamma,Vy_alpha,Vy_beta,Vy_gamma,Vz_alpha,Vz_beta,Vz_gamma,stationarity,noise_type
195,0.7298876,0.08490576,-0.0003786576,-0.122884005,0.7396677,0.0638898,-0.0019026655,-0.047324974,0.6117631,1,1
196,-0.27378485,0.10265041,0.004559131,-0.10688819,-0.23303728,-0.035970278,0.006496958,-0.016603578,0.24475184,0,2
197,-0.17105958,-0.07280758,-0.0037844435,0.06790253,-0.34542963,-0.046123803,-0.007878087,-0.034902554,0.29623383,1,2
198,-0.5102614,0.71279764,0.10579808,-0.7240098,-0.46224302,-0.01303611,0.038063284,-0.09314624,0.7637149,0,0
199,-0.5240719,0.7229818,0.070783034,-0.6576724,-0.4256358,-0.012542354,0.02206844,-0.059848797,0.71062195,1,0
200,-0.5306249,0.7411846,0.10428231,-0.75116295,-0.49613875,-0.0030131622,0.050550606,-0.08818755,0.8291923,0,1
201,-0.51450783,0.76245695,0.08976421,-0.72624916,-0.43254152,-0.0264009,0.02282137,-0.091363594,0.78561354,1,1
202,-0.5394491,-0.064560056,0.019238915,0.051215272,-0.57671696,-0.016513702,0.021414509,-0.02901566,0.4704009,0,2
203,-0.39522934,-0.27723685,0.0033489568,0.28246102,-0.57557297,-0.05709414,0.04312067,-0.049002595,0.48155975,1,2
204,-0.21019985,0.8305807,0.10199428,-0.8249513,-0.116061084,0.035935793,0.04517335,-0.091227025,0.71662015,0,0
205,0.6480231,0.2518035,0.02583452,-0.19877471,0.6573026,0.023745434,-0.022029266,-0.019063458,0.5406594,1,0
206,-0.30790597,0.8410236,0.10777524,-0.8446756,-0.23574482,-0.0013258884,0.023182858,-0.101398624,0.79044485,0,1
207,0.667732,0.37300602,0.04724187,-0.3383996,0.68385184,0.0364121,-0.03280796,-0.045779433,0.6266005,1,1
208,-0.064937964,0.04341424,-0.015238511,-0.018783266,-0.06281824,0.0006856256,0.012771566,-0.018633125,0.15146148,0,2
209,-0.0048907357,-0.049410157,0.013891436,0.036466427,-0.16050151,-0.0071038404,0.010813988,-0.021363381,0.21626417,1,2
